UnixTime,gx,gy,gz,ax,ay,az,mx,my,mz
1700167685.8176527,00,00,00,00,00,00,fb,30,1d
1700167685.9251192,00,00,00,00,00,00,05,37,29
1700167686.0327032,00,00,00,00,00,00,08,30,25
1700167686.1402118,00,00,00,00,00,00,06,39,2b
1700167686.2497504,00,00,00,00,00,00,09,33,23
1700167686.3573244,00,00,00,00,00,00,06,33,2b
1700167686.464831,00,00,00,00,00,00,06,31,1e
1700167686.5723155,00,00,00,00,00,00,03,2d,22
1700167686.6798766,00,00,00,00,00,00,fe,35,29
1700167686.789332,00,00,00,00,00,00,00,32,29
1700167686.896908,00,00,00,00,00,00,08,2b,27
1700167687.0003846,00,00,00,00,00,00,03,32,1d
1700167687.1035786,00,00,00,00,00,00,01,36,2f
1700167687.206755,00,00,00,00,00,00,03,32,36
1700167687.310975,00,00,00,00,00,00,04,2c,39
1700167687.4141452,00,00,00,00,00,00,f9,35,31
1700167687.5172606,00,00,00,00,00,00,09,2e,32
1700167687.6204143,00,00,00,00,00,00,0b,31,2f
1700167687.7235289,00,00,00,00,00,00,06,36,21
1700167687.8284323,00,00,00,00,00,00,03,35,2c
1700167687.9315484,00,00,00,00,00,00,09,36,2b
1700167688.0346763,00,00,00,00,00,00,0a,30,2e
